number,price
32211077578,7306876.33
0338200008522000014,1453378.33
32211109769,4161000.00
32211155666,357976.50
0338300006622000011,50000.00
0338300006622000014,285120.00
32211101105,7843333.32
0378200002922000023,591533.12
32211081270,3576733.33
32110785659,45707267.52
